Attendance,Capacity,Day,Full,Gross,Gross Potential,Month,Name,Performances,Theatre,Type,Year
5500,88,26,08/26/1990,134456,0,8,Tru,8,Booth,Play,1990
1737,100,24,03/24/1991,100647,0,3,Miss Saigon,0,Broadway,Musical,1991
12160,100,31,03/31/1991,634424,0,3,Miss Saigon,0,Broadway,Musical,1991
13921,100,7,04/07/1991,713353,0,4,Miss Saigon,0,Broadway,Musical,1991
10973,90,14,04/14/1991,573981,0,4,Miss Saigon,4,Broadway,Musical,1991
14076,101,21,04/21/1991,706793,0,4,Miss Saigon,8,Broadway,Musical,1991
14065,101,28,04/28/1991,714968,0,4,Miss Saigon,8,Broadway,Musical,1991
14064,101,5,05/05/1991,730765,0,5,Miss Saigon,8,Broadway,Musical,1991
13896,100,12,05/12/1991,766713,0,5,Miss Saigon,8,Broadway,Musical,1991
13738,99,19,05/19/1991,763332,0,5,Miss Saigon,8,Broadway,Musical,1991
13897,100,26,05/26/1991,769137,0,5,Miss Saigon,8,Broadway,Musical,1991
14016,101,2,06/02/1991,774412,0,6,Miss Saigon,8,Broadway,Musical,1991
14088,101,9,06/09/1991,771767,0,6,Miss Saigon,8,Broadway,Musical,1991
14088,101,16,06/16/1991,770819,0,6,Miss Saigon,8,Broadway,Musical,1991
14088,101,23,06/23/1991,771192,0,6,Miss Saigon,8,Broadway,Musical,1991
14088,101,30,06/30/1991,777088,0,6,Miss Saigon,8,Broadway,Musical,1991
14088,101,7,07/07/1991,779802,0,7,Miss Saigon,8,Broadway,Musical,1991
14084,101,14,07/14/1991,782314,0,7,Miss Saigon,8,Broadway,Musical,1991
14088,101,21,07/21/1991,781413,0,7,Miss Saigon,8,Broadway,Musical,1991
14088,101,28,07/28/1991,786612,0,7,Miss Saigon,8,Broadway,Musical,1991
14088,101,4,08/04/1991,782060,0,8,Miss Saigon,8,Broadway,Musical,1991
14088,101,11,08/11/1991,781332,0,8,Miss Saigon,8,Broadway,Musical,1991
14088,101,18,08/18/1991,784392,0,8,Miss Saigon,8,Broadway,Musical,1991
14088,101,25,08/25/1991,786452,0,8,Miss Saigon,8,Broadway,Musical,1991
14088,101,1,09/01/1991,786995,0,9,Miss Saigon,8,Broadway,Musical,1991
14088,101,8,09/08/1991,783503,0,9,Miss Saigon,8,Broadway,Musical,1991
14088,101,15,09/15/1991,781614,0,9,Miss Saigon,8,Broadway,Musical,1991
14088,101,22,09/22/1991,780148,0,9,Miss Saigon,8,Broadway,Musical,1991
14088,101,29,09/29/1991,776172,0,9,Miss Saigon,8,Broadway,Musical,1991
14088,101,6,10/06/1991,775124,0,10,Miss Saigon,8,Broadway,Musical,1991
14088,101,13,10/13/1991,776901,0,10,Miss Saigon,8,Broadway,Musical,1991
14088,101,20,10/20/1991,771361,0,10,Miss Saigon,8,Broadway,Musical,1991
14088,101,27,10/27/1991,777898,0,10,Miss Saigon,8,Broadway,Musical,1991
14088,101,3,11/03/1991,784499,0,11,Miss Saigon,8,Broadway,Musical,1991
14088,101,10,11/10/1991,780494,0,11,Miss Saigon,8,Broadway,Musical,1991
14088,101,17,11/17/1991,781617,0,11,Miss Saigon,8,Broadway,Musical,1991
14088,101,24,11/24/1991,779435,0,11,Miss Saigon,8,Broadway,Musical,1991
14088,101,1,12/01/1991,784733,0,12,Miss Saigon,8,Broadway,Musical,1991
14088,101,8,12/08/1991,782279,0,12,Miss Saigon,8,Broadway,Musical,1991
14088,101,15,12/15/1991,780343,0,12,Miss Saigon,8,Broadway,Musical,1991
14088,101,22,12/22/1991,778474,0,12,Miss Saigon,8,Broadway,Musical,1991
14088,101,29,12/29/1991,800315,0,12,Miss Saigon,8,Broadway,Musical,1991
14088,101,5,01/05/1992,837851,0,1,Miss Saigon,8,Broadway,Musical,1992
14088,101,12,01/12/1992,773439,0,1,Miss Saigon,8,Broadway,Musical,1992
14082,101,19,01/19/1992,735927,0,1,Miss Saigon,8,Broadway,Musical,1992
14088,101,26,01/26/1992,759192,0,1,Miss Saigon,8,Broadway,Musical,1992
14088,101,2,02/02/1992,741472,0,2,Miss Saigon,8,Broadway,Musical,1992
14088,101,9,02/09/1992,741091,0,2,Miss Saigon,8,Broadway,Musical,1992
14088,101,16,02/16/1992,750398,0,2,Miss Saigon,8,Broadway,Musical,1992
14088,101,23,02/23/1992,756909,0,2,Miss Saigon,8,Broadway,Musical,1992
